Kecamatan,Luas Panen 2019,Luas Panen 2020,Luas Panen 2021,Luas Panen 2022,Luas Panen 2023,Produksi 2019,Produksi 2020,Produksi 2021,Produksi 2022,Produksi 2023,Produktivitas 2019,Produktivitas 2020,Produktivitas 2021,Produktivitas 2022,Produktivitas 2023
Pesanggaran,1588,1664,2653,2583,2406,11020,11407,172600,173060,160980,69.4,68.55,65.06,67,66.91
Siliragung,2000,4969,2025,2328,2407,13640,33913,150890,156910,163220,68.2,68.25,74.51,67.4,67.81
Bangorejo,923,1187,169,179,2788,6318,8089,10850,12060,186020,68.45,68.15,64.2,67.37,66.72
Purwoharjo,941,2579,1047,1077,4012,6410,17563,66380,72480,278430,68.12,68.1,63.4,67.3,69.4
Tegaldlimo,1341,2517,1117,1094,2740,9400,17204,71750,73830,193730,70.1,68.35,64.23,67.49,70.7
Muncar,2213,2811,563,495,4348,15535,19494,35730,33260,306990,70.2,69.35,63.46,67.19,70.6
Cluring,729,1072,918,896,1436,4873,7209,58680,60390,97570,66.84,67.25,63.92,67.4,67.95
Gambiran,387,239,823,383,1599,2582,1568,53130,25810,108340,66.72,65.61,64.56,67.39,67.75
Tegalsari,181,933,3181,3081,998,1203,6209,213030,207970,67120,66.46,66.55,66.97,67.5,67.25
Glenmore,331,60,2088,1902,567,2170,388,140100,128390,38100,65.56,64.67,67.1,67.5,67.2
Kalibaru,441,247,1288,919,3126,2878,1599,82040,62040,203820,65.26,64.74,63.7,67.51,65.2
Genteng,40,139,1646,1876,1654,252,890,108570,123235,107320,63,64.03,65.96,65.69,64.89
Srono,1024,1761,1393,1760,1664,6738,11491,92490,116636,11407,65.8,65.25,66.4,66.27,68.55
Rogojampi,232,267,2406,2959,4969,1512,1737,160980,197965,33913,65.17,65.06,66.91,66.9,68.25
Blimbingsari       ,873,682,2407,2880,1187,5686,4470,163220,195857,8089,65.13,65.54,67.81,68.01,68.15
Kabat,412,579,2788,2751,2579,2649,3775,186020,185310,17563,64.3,65.2,66.72,67.36,68.1
Singojuruh,204,109,4012,5063,2517,1306,708,278430,351838,17204,64.02,64.95,69.4,69.49,68.35
Sempu,913,213,2740,2889,2811,5894,1396,193730,202173,19494,64.56,65.54,70.7,69.98,69.35
Songgon,115,245,4348,4358,1072,738,1596,306990,295970,7209,64.17,65.14,70.6,67.91,67.25
Glagah,430,521,1436,1584,239,2746,3400,97570,107925,1568,63.86,65.26,67.95,68.13,65.61
Licin,124,174,1599,1739,933,793,1120,108340,118531,6209,63.95,64.37,67.75,68.16,66.55
Banyuwangi,154,147,998,949,60,940,946,67120,63330,388,61.04,64.35,67.25,66.73,64.67
Giri,151,188,567,647,247,954,1206,38100,43165,1599,63.18,64.15,67.2,66.72,64.74
Kalipuro,2763,1146,3126,2211,139,17480,7352,203820,147580,890,63.26,64.15,65.2,66.75,64.03
Wongsorejo,7626,8153,1654,1959,1761,53622,56541,107320,126966,11491,70.31,69.35,64.89,64.81,65.25
Banyuwangi,"26,136","32,602","46,992","48,562","48,259","177,341","221,271","3,167,880","3,282,681","2,048,664",67.85,67.87,1665.85,1683.96,1681.23
